অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
পাকাগী	ꯄꯥꯀꯥꯒꯤ
পাকিস্তান	ꯄꯥꯀꯤꯁꯇꯥꯟ
পাকিস্তানগা	ꯄꯥꯀꯤꯁꯇꯥꯟꯒꯥ
পাকিস্তানগী	ꯄꯥꯀꯤꯁꯇꯥꯟꯒꯤ
পাকিস্তানদগী	ꯄꯥꯀꯤꯁꯇꯥꯟꯗꯒꯤ
পাকিস্তানদসু	ꯄꯥꯀꯤꯁꯇꯥꯟꯗꯁꯨ
পাকিস্তানদা	ꯄꯥꯀꯤꯁꯇꯥꯟꯗꯥ
পাকিস্তাননা	ꯄꯥꯀꯤꯁꯇꯥꯟꯅꯥ
পাকিস্তানবু	ꯄꯥꯀꯤꯁꯇꯥꯟꯕꯨ
পাকিস্তানলোমদগী	ꯄꯥꯀꯤꯁꯇꯥꯟꯂꯣꯝꯗꯒꯤ
পাকিস্তানি	ꯄꯥꯀꯤꯁꯇꯥꯅꯤ
পাকিস্তান্না	ꯄꯥꯀꯤꯁꯇꯥꯟꯅꯥ
পাক্কদবনি	ꯄꯥꯛꯀꯗꯕꯅꯤ
পাক্কদবা	ꯄꯥꯛꯀꯗꯕꯥ
পাক্কনি	ꯄꯥꯛꯀꯅꯤ
পাক্তক্ননা	ꯄꯥꯛꯇꯛꯅꯅꯥ
পাক্তুনা	ꯄꯥꯛꯇꯨꯅꯥ
পাক্ননবগী	ꯄꯥꯛꯅꯅꯕꯒꯤ
পাক্ননবা	ꯄꯥꯛꯅꯅꯕꯥ
পাক্নবগী	ꯄꯥꯛꯅꯕꯒꯤ
পাক্নবগীদমক	ꯄꯥꯛꯅꯕꯒꯤꯗꯃꯛ
পাক্নবা	ꯄꯥꯛꯅꯕꯥ
পাক্না	ꯄꯥꯛꯅꯥ
পাক্লকখিবা	ꯄꯥꯛꯂꯛꯈꯤꯕꯥ
পাক্লকখ্রবা	ꯄꯥꯛꯂꯛꯈ꯭ꯔꯕꯥ
পাক্লকপগী	ꯄꯥꯛꯂꯛꯄꯒꯤ
পাক্লকপগীদমক	ꯄꯥꯛꯂꯛꯄꯒꯤꯗꯃꯛ
পাক্লকপদা	ꯄꯥꯛꯂꯛꯄꯗꯥ
পাক্লকপা	ꯄꯥꯛꯂꯛꯄꯥ
পাক্লক্কনি	ꯄꯥꯛꯂꯛꯀꯅꯤ
পাক্লগনি	ꯄꯥꯛꯂꯒꯅꯤ
পাক্লবগে	ꯄꯥꯛꯂꯕꯒꯦ
পাক্লবদি	ꯄꯥꯛꯂꯕꯗꯤ
পাক্লবনি	ꯄꯥꯛꯂꯕꯅꯤ
পাক্লবশিং	ꯄꯥꯛꯂꯕꯁꯤꯡ
পাক্লবশিংদা	ꯄꯥꯛꯂꯕꯁꯤꯡꯗꯥ
পাক্লবশিংনা	ꯄꯥꯛꯂꯕꯁꯤꯡꯅꯥ
পাক্লবা	ꯄꯥꯛꯂꯕꯥ
পাক্লি	ꯄꯥꯛꯂꯤ
পাক্লিবশিং	ꯄꯥꯛꯂꯤꯕꯁꯤꯡ
পাক্লিবা	ꯄꯥꯛꯂꯤꯕꯥ
পাক্লে	ꯄꯥꯛꯂꯦ
পাখংখোঙগী	ꯄꯥꯈꯪꯈꯣꯡꯒꯤ
পাখংলাকপা	ꯄꯥꯈꯪꯂꯥꯛꯄꯥ
পাখঙ	ꯄꯥꯈꯪ
পাখঙলাকপা	ꯄꯥꯈꯪꯂꯥꯛꯄꯥ
পাখিবা	ꯄꯥꯈꯤꯕꯥ
পাখৎখপা	ꯄꯥꯈꯠꯈꯄꯥ
পাখৎনিংঙাই	ꯄꯥꯈꯠꯅꯤꯡꯉꯥꯢ
পাখৎপা	ꯄꯥꯈꯠꯄꯥ
পাখৎপীদনবসু	ꯄꯥꯈꯠꯄꯤꯗꯅꯕꯁꯨ
পাঙথেক্লি	ꯄꯥꯡꯊꯦꯛꯂꯤ
পাঙথোকই	ꯄꯥꯡꯊꯣꯛꯏ
পাঙথোকখি	ꯄꯥꯡꯊꯣꯛꯈꯤ
পাঙথোকখিদ্রে	ꯄꯥꯡꯊꯣꯛꯈꯤꯗ꯭ꯔꯦ
পাঙথোকখিবদা	ꯄꯥꯡꯊꯣꯛꯈꯤꯕꯗꯥ
পাঙথোকখিবনি	ꯄꯥꯡꯊꯣꯛꯈꯤꯕꯅꯤ
পাঙথোকখিবা	ꯄꯥꯡꯊꯣꯛꯈꯤꯕꯥ
পাঙথোকখ্রবা	ꯄꯥꯡꯊꯣꯛꯈ꯭ꯔꯕꯥ
পাঙথোকখ্রে	ꯄꯥꯡꯊꯣꯛꯈ꯭ꯔꯦ
পাঙথোকখ্র্রে	ꯄꯥꯡꯡꯊꯣꯛꯈ꯭ꯔꯦ
পাঙথোকপগা	ꯄꯥꯡꯊꯣꯛꯄꯒꯥ
পাঙথোকপগী	ꯄꯥꯡꯊꯣꯛꯄꯒꯤ
পাঙথোকপগীদমক	ꯄꯥꯡꯊꯣꯛꯄꯒꯤꯗꯃꯛ
পাঙথোকপগুম	ꯄꯥꯡꯊꯣꯛꯄꯒꯨꯝ
পাঙথোকপগুম্না	ꯄꯥꯡꯊꯣꯛꯄꯒꯨꯝꯅꯥ
পাঙথোকপদা	ꯄꯥꯡꯊꯣꯛꯄꯗꯥ
পাঙথোকপদি	ꯄꯥꯡꯊꯣꯛꯄꯗꯤ
পাঙথোকপনচিংবা	ꯄꯥꯡꯊꯣꯛꯄꯅꯆꯤꯡꯕꯥ
পাঙথোকপনা	ꯄꯥꯡꯊꯣꯛꯄꯅꯥ
পাঙথোকপনি	ꯄꯥꯡꯊꯣꯛꯄꯅꯤ
পাঙথোকপসু	ꯄꯥꯡꯊꯣꯛꯄꯁꯨ
পাঙথোকপা	ꯄꯥꯡꯊꯣꯛꯄꯥ
পাঙথোকপীগনু	ꯄꯥꯡꯊꯣꯛꯄꯤꯒꯅꯨ
পাঙথোকপীনবা	ꯄꯥꯡꯊꯣꯛꯄꯤꯅꯕꯥ
পাঙথোকপীয়ু	ꯄꯥꯡꯊꯣꯛꯄꯤꯌꯨ
পাঙথোকফম	ꯄꯥꯡꯊꯣꯛꯐꯝ
পাঙথোকফমদা	ꯄꯥꯡꯊꯣꯛꯐꯝꯗꯥ
পাঙথোকমীন্নরসি	ꯄꯥꯡꯊꯣꯛꯃꯤꯟꯅꯔꯁꯤ
পাঙথোকলি	ꯄꯥꯡꯊꯣꯛꯂꯤ
পাঙথোকহল্লোইদবনি	ꯄꯥꯡꯊꯣꯛꯍꯜꯂꯣꯢꯗꯕꯅꯤ
পাঙথোকিবা	ꯄꯥꯡꯊꯣꯀꯤꯕꯥ
পাঙথোক্কদগে	ꯄꯥꯡꯊꯣꯛꯀꯗꯒꯦ
পাঙথোক্কদবনি	ꯄꯥꯡꯊꯣꯛꯀꯗꯕꯅꯤ
পাঙথোক্কদবা	ꯄꯥꯡꯊꯣꯛꯀꯗꯕꯥ
পাঙথোক্কদৌরি	ꯄꯥꯡꯊꯣꯛꯀꯗꯧꯔꯤ
পাঙথোক্কদৌরিবা	ꯄꯥꯡꯊꯣꯛꯀꯗꯧꯔꯤꯕꯥ
পাঙথোক্কনি	ꯄꯥꯡꯊꯣꯛꯀꯅꯤ
পাঙথোক্তনবা	ꯄꯥꯡꯊꯣꯛꯇꯅꯕꯥ
পাঙথোক্তবা	ꯄꯥꯡꯊꯣꯛꯇꯕꯥ
পাঙথোক্তুন	ꯄꯥꯡꯊꯣꯛꯇꯨꯅ
পাঙথোক্তুনা	ꯄꯥꯡꯊꯣꯛꯇꯨꯅꯥ
পাঙথোক্ত্রিবনা	ꯄꯥꯡꯊꯣꯛꯇ꯭ꯔꯤꯕꯅꯥ
পাঙথোক্নখি	ꯄꯥꯡꯊꯣꯛꯅꯈꯤ
পাঙথোক্নখিদে	ꯄꯥꯡꯊꯣꯛꯅꯈꯤꯗꯦ
পাঙথোক্নখিদ্রে	ꯄꯥꯡꯊꯣꯛꯅꯈꯤꯗ꯭ꯔꯦ
পাঙথোক্নখ্রে	ꯄꯥꯡꯊꯣꯛꯅꯈ꯭ꯔꯦ
পাঙথোক্নদ্রবসু	ꯄꯥꯡꯊꯣꯛꯅꯗ꯭ꯔꯕꯁꯨ
পাঙথোক্নদ্রে	ꯄꯥꯡꯊꯣꯛꯅꯗ꯭ꯔꯦ
পাঙথোক্নবগী	ꯄꯥꯡꯊꯣꯛꯅꯕꯒꯤ
পাঙথোক্নবগীদমক	ꯄꯥꯡꯊꯣꯛꯅꯕꯒꯤꯗꯃꯛ
পাঙথোক্নবগুম	ꯄꯥꯡꯊꯣꯛꯅꯕꯒꯨꯝ
পাঙথোক্নবসু	ꯄꯥꯡꯊꯣꯛꯅꯕꯁꯨ
পাঙথোক্নবা	ꯄꯥꯡꯊꯣꯛꯅꯕꯥ
পাঙথোক্নরক্লি	ꯄꯥꯡꯊꯣꯛꯅꯔꯛꯂꯤ
পাঙথোক্নরম্বা	ꯄꯥꯡꯊꯣꯛꯅꯔꯝꯕꯥ
পাঙথোক্নরি	ꯄꯥꯡꯊꯣꯛꯅꯔꯤ
পাঙথোক্নরে	ꯄꯥꯡꯊꯣꯛꯅꯔꯦ
পাঙথোক্লগনি	ꯄꯥꯡꯊꯣꯛꯂꯒꯅꯤ
পাঙথোক্লগা	ꯄꯥꯡꯊꯣꯛꯂꯒꯥ
পাঙথোক্লবসু	ꯄꯥꯡꯊꯣꯛꯂꯕꯁꯨ
পাঙথোক্লবা	ꯄꯥꯡꯊꯣꯛꯂꯕꯥ
পাঙথোক্লম্বা	ꯄꯥꯡꯊꯣꯛꯂꯝꯕꯥ
পাঙথোক্লরোই	ꯄꯥꯡꯊꯣꯛꯂꯔꯣꯢ
পাঙথোক্লসি	ꯄꯥꯡꯊꯣꯛꯂꯁꯤ
পাঙথোক্লি	ꯄꯥꯡꯊꯣꯛꯂꯤ
পাঙথোক্লিঙৈ	ꯄꯥꯡꯊꯣꯛꯂꯤꯉꯩ
পাঙথোক্লিঙৈদা	ꯄꯥꯡꯊꯣꯛꯂꯤꯉꯩꯗꯥ
পাঙথোক্লিবা	ꯄꯥꯡꯊꯣꯛꯂꯤꯕꯥ
পাঙথোক্লে	ꯄꯥꯡꯊꯣꯛꯂꯦ
পাঙথোক্লোই	ꯄꯥꯉꯊꯣꯛꯂꯣꯢ
পাঙথোরকপদগী	ꯄꯥꯡꯊꯣꯔꯛꯄꯗꯒꯤ
পাঙথোরকপনি	ꯄꯥꯡꯊꯣꯔꯛꯄꯅꯤ
পাঙথোরকপা	ꯄꯥꯡꯊꯣꯔꯛꯄꯥ
পাঙথোাকখিবা	ꯄꯥꯡꯊꯣꯛꯈꯤꯕꯥ
পাঙথোাক্লগনি	ꯄꯥꯡꯊꯣꯛꯂꯒꯅꯤ
পাঙমবম	ꯄꯥꯉꯝꯕꯝ
পাঙম্বম	ꯄꯥꯉꯝꯕꯝ
পাঙল	ꯄꯥꯉꯜ
পাঙলগী	ꯄꯥꯉꯜꯒꯤ
পাঙলনচিংবনসু	ꯄꯥꯉꯜꯅꯆꯤꯡꯕꯅꯁꯨ
পাঙ্গনবা	ꯄꯥꯡꯒꯟꯕꯥ
পাঙ্গল	ꯄꯥꯡꯒꯜ
পাঙ্গলগী	ꯄꯥꯡꯒꯜꯒꯤ
পাঙ্গলদা	ꯄꯥꯡꯒꯜꯗꯥ
পাঙ্গলনা	ꯄꯥꯡꯒꯜꯅꯥ
পাঙ্গলনি	ꯄꯥꯡꯒꯜꯅꯤ
পাঙ্গলসু	ꯄꯥꯡꯒꯜꯁꯨ
পাঙ্গৈ	ꯄꯥꯡꯒꯩ
পাঙ্গৈগী	ꯄꯥꯡꯒꯩꯒꯤ
পাঙ্গৈদা	ꯄꯥꯡꯒꯩꯗꯥ
পাজরি	ꯄꯥꯖꯔꯤ
পাঞ্জন	ꯄꯥꯟꯖꯟ
পাঞ্জল	ꯄꯥꯟꯖꯜ
পাঞ্জলশিং	ꯄꯥꯟꯖꯜꯁꯤꯡ
পাঞ্জাবকী	ꯄꯟꯖꯥꯕꯀꯤ
পাঞ্জি	ꯄꯥꯟꯖꯤ
পাঞ্জিনা	ꯄꯥꯟꯖꯤꯅꯥ
পাট	ꯄꯥꯠ
পাটনর	ꯄꯥꯇꯟꯔ
পাটনরশিং	ꯄꯥꯇꯟꯔꯁꯤꯡ
পাটনরসিপ	ꯄꯥꯇꯟꯔꯁꯤꯞ
পাটনা	ꯄꯥꯠꯅꯥ
পাটনাগী	ꯄꯥꯠꯅꯥꯒꯤ
পাটনাদা	ꯄꯥꯠꯅꯥꯗꯥ
পাটনানা	ꯄꯥꯠꯅꯥꯅꯥ
পাটশোই	ꯄꯥꯠꯁꯣꯢ
পাটসালাদা	ꯄꯥꯠꯁꯥꯂꯥꯗꯥ
পাটসোইদা	ꯄꯥꯠꯁꯣꯢꯗꯥ
পাটা	ꯄꯥꯇꯥ
পাটাচারকুচি	ꯄꯥꯇꯥꯆꯥꯔꯀꯨꯆꯤ
পাটিল	ꯄꯥꯇꯤꯜ
পাটেল	ꯄꯥꯇꯦꯜ
পাটেলগী	ꯄꯥꯇꯦꯜꯒꯤ
পাটেলনা	ꯄꯥꯇꯦꯜꯅꯥ
পাট্টনাগী	ꯄꯥꯠꯇꯅꯥꯒꯤ
পাট্টনাদা	ꯄꯥꯠꯇꯅꯥꯗꯥ
পাট্টা	ꯄꯥꯠꯇꯥ
পাট্না	ꯄꯥꯠꯅꯥ
পাতনয়কনা	ꯄꯥꯇꯅꯌꯛꯅꯥ
পাতাচারকুচিদা	ꯄꯥꯇꯥꯆꯥꯔꯀꯨꯆꯤꯗꯥ
পাতিল	ꯄꯥꯇꯤꯜ
পাতিলনা	ꯄꯥꯇꯤꯜꯅꯥ
পাতিয়ালাদা	ꯄꯥꯇꯤꯌꯥꯂꯥꯗꯥ
পাতেল	ꯄꯥꯇꯦꯜ
পাতেলগী	ꯄꯥꯇꯦꯜꯒꯤ
পাতেলনচিংবা	ꯄꯥꯇꯦꯜꯅꯆꯤꯡꯕꯥ
পাতেলনা	ꯄꯥꯇꯦꯜꯅꯥ
পাতোন	ꯄꯥꯇꯣꯟ
পাত্র	ꯄꯥꯇ꯭ꯔ
পাত্রা	ꯄꯥꯇ꯭ꯔꯥ
পাত্রুসেফনা	ꯄꯥꯇ꯭ꯔꯨꯁꯦꯐꯅꯥ
পাথরকপা	ꯄꯥꯊꯔꯛꯄꯥ
পাথসালানচিংবা	ꯄꯥꯊꯁꯥꯂꯥꯅꯆꯤꯡꯕꯥ
পাথানমথিত্তা	ꯄꯥꯊꯥꯅꯝꯊꯤꯠꯇꯥ
পাথোকখি	ꯄꯥꯊꯣꯛꯈꯤ
পাথোকপগী	ꯄꯥꯊꯣꯛꯄꯒꯤ
পাথোকপদগী	ꯄꯥꯊꯣꯛꯄꯗꯒꯤ
পাথোকপদা	ꯄꯥꯊꯣꯛꯄꯗꯥ
পাথোখি	ꯄꯥꯊꯣꯈꯤ
পাথোরকপা	ꯄꯥꯊꯣꯔꯛꯄꯥ
পাথোরক্তুনা	ꯄꯥꯊꯣꯔꯛꯇꯨꯅꯥ
পাদবা	ꯄꯥꯗꯕꯥ
পাদল	ꯄꯥꯗꯜ
পাদুনা	ꯄꯥꯗꯨꯅꯥ
পান	ꯄꯥꯟ
পানকি	ꯄꯥꯟꯀꯤ
পানখ্রবা	ꯄꯥꯅꯈ꯭ꯔꯕꯥ
পানখ্রবী	ꯄꯥꯟꯈ꯭ꯔꯕꯤ
পানগনি	ꯄꯥꯟꯒꯅꯤ
পানদম	ꯄꯥꯟꯗꯝ
পানদমদা	ꯄꯥꯟꯗꯝꯗꯥ
পানদুনা	ꯄꯥꯟꯗꯨꯅꯥ
পানদোংবা	ꯄꯥꯟꯗꯣꯡꯕꯥ
পানদ্রিবি	ꯄꯥꯟꯗ꯭ꯔꯤꯕꯤ
পানদ্রিবী	ꯄꯥꯟꯗ꯭ꯔꯤꯕꯤ
পানপুর	ꯄꯥꯟꯄꯨꯔ
পানবগী	ꯄꯥꯅꯕꯒꯤ
পানবদগী	ꯄꯥꯅꯕꯗꯒꯤ
পানবদা	ꯄꯥꯅꯕꯗꯥ
পানবশিংগীদমক	ꯄꯥꯅꯕꯁꯤꯡꯒꯤꯗꯃꯛ
পানবা	ꯄꯥꯟꯕꯥ
পানমৈ	ꯄꯥꯟꯃꯩ
পানমৈগী	ꯄꯥꯟꯃꯩꯒꯤ
পানমৈনা	ꯄꯥꯟꯃꯩꯅꯥ
পানরম্বদগী	ꯄꯥꯅꯔꯝꯕꯗꯒꯤ
পানরি	ꯄꯥꯅꯔꯤ
পানরিবা	ꯄꯥꯅꯔꯤꯕꯥ
পানা	ꯄꯥꯅꯥ
পানাগী	ꯄꯥꯅꯥꯒꯤ
পানাজি	ꯄꯥꯅꯥꯖꯤ
পানি	ꯄꯥꯅꯤ
পানিক্করগী	ꯄꯥꯅꯤꯛꯀꯔꯒꯤ
পানিদা	ꯄꯥꯅꯤꯗꯥ
পানিপত	ꯄꯥꯅꯤꯄꯠ
পানির	ꯄꯥꯅꯤꯔ
পানেরি	ꯄꯥꯅꯦꯔꯤ
পানোরামা	ꯄꯥꯅꯣꯔꯥꯃꯥ
পান্থ	ꯄꯥꯟꯊ
পান্থোইবি	ꯄꯥꯟꯊꯣꯢꯕꯤ
পান্থোইবী	ꯄꯥꯟꯊꯣꯢꯕꯤ
পান্থোইবীগী	ꯄꯥꯟꯊꯣꯢꯕꯤꯒꯤ
পান্দম	ꯄꯥꯟꯗꯝ
পান্দমগা	ꯄꯥꯟꯗꯝꯒꯥ
পান্দমগী	ꯄꯥꯟꯗꯝꯒꯤ
পান্দমদনি	ꯄꯥꯟꯗꯝꯗꯅꯤ
পান্দমদা	ꯄꯥꯟꯗꯝꯗꯥ
পান্দমদি	ꯄꯥꯟꯗꯝꯗꯤ
পান্দমদু	ꯄꯥꯟꯗꯝꯗꯨ
পান্দমনা	ꯄꯥꯟꯗꯝꯅꯥ
পান্দমনি	ꯄꯥꯟꯗꯝꯅꯤ
পান্দমশিং	ꯄꯥꯟꯗꯝꯁꯤꯡ
পান্দলশিংদা	ꯄꯥꯟꯗꯜꯁꯤꯡꯗꯥ
পান্দাল	ꯄꯥꯟꯗꯥꯜ
পান্দালশিং	ꯄꯥꯟꯗꯥꯜꯁꯤꯡ
পান্দিয়াননা	ꯄꯥꯟꯗꯤꯌꯥꯟꯅꯥ
পান্দিয়ানা	ꯄꯥꯟꯗꯤꯌꯥꯅꯥ
পান্দুনা	ꯄꯥꯟꯗꯨꯅꯥ
পান্দুপ	ꯄꯥꯟꯗꯨꯞ
পান্দে	ꯄꯥꯟꯗꯦ
পান্দেগী	ꯄꯥꯟꯗꯦꯒꯤ
পান্দেনচিংবসু	ꯄꯥꯟꯗꯦꯅꯆꯤꯡꯕꯁꯨ
পান্দেনা	ꯄꯥꯟꯗꯦꯅꯥ
পান্দেসু	ꯄꯥꯟꯗꯦꯁꯨ
পান্নখিবা	ꯄꯥꯟꯅꯈꯤꯕꯥ
পান্নবা	ꯄꯥꯟꯅꯕꯥ
পান্নরম্বা	ꯄꯥꯟꯅꯔꯝꯕꯥ
পান্নরি	ꯄꯥꯟꯅꯔꯤ
পান্নরিবা	ꯄꯥꯟꯅꯔꯤꯕꯥ
পানৱার	ꯄꯥꯅꯋꯥꯔ
পানৱারগী	ꯄꯥꯅꯋꯥꯔꯒꯤ
পাপ	ꯄꯥꯞ
পাপতগী	ꯄꯥꯞꯇꯒꯤ
পাফোর্মিং	ꯄꯥꯐꯣꯔꯃꯤꯡ
পাবগী	ꯄꯥꯕꯒꯤ
পাবদা	ꯄꯥꯕꯗꯥ
পাবন	ꯄꯥꯕꯟ
পাবনচিংবা	ꯄꯥꯕꯅꯆꯤꯡꯕꯥ
পাবরোমদনা	ꯄꯥꯕꯔꯣꯝꯗꯅꯥ
পাবা	ꯄꯥꯕꯥ
পাবীয়ু	ꯄꯥꯕꯤꯌꯨ
পাব্লিক	ꯄꯥꯕꯂꯤꯛ
পাব্লিকেসন	ꯄꯥꯕꯂꯤꯀꯦꯁꯟ
পাব্লিষ্ট	ꯄꯥꯕꯂꯤꯁ꯭ꯇ
পাব্লিসর	ꯄꯥꯕꯂꯤꯁꯔ
পাব্লিসরস	ꯄꯥꯕꯂꯤꯁꯔꯁ
পাব্লিসরসশিংগা	ꯄꯥꯕꯂꯤꯁꯔꯁꯁꯤꯡꯒꯥ
পাব্লিসিতি	ꯄꯥꯕꯂꯤꯁꯤꯇꯤ
পাম	ꯄꯥꯝ
পামখি	ꯄꯥꯝꯈꯤ
পামগী	ꯄꯥꯝꯒꯤ
পামজবনা	ꯄꯥꯝꯖꯕꯅꯥ
পামজবা	ꯄꯥꯝꯖꯕꯥ
পামজরগা	ꯄꯥꯝꯖꯔꯒꯥ
পামজরম্বা	ꯄꯥꯃꯖꯔꯝꯕꯥ
পামজা	ꯄꯥꯝꯖꯥ
পামদবগী	ꯄꯥꯝꯗꯕꯒꯤ
পামদবনা	ꯄꯥꯝꯗꯕꯅꯥ
পামদবা	ꯄꯥꯝꯗꯕꯥ
পামদে	ꯄꯥꯃꯗꯦ
পামনদ্রবা	ꯄꯥꯝꯅꯗ꯭ꯔꯕꯥ
পামনবা	ꯄꯥꯝꯅꯕꯥ
পামনরে	ꯄꯥꯝꯅꯔꯦ
পামনৈ	ꯄꯥꯝꯅꯩ
পামবৈশিং	ꯄꯥꯝꯕꯩꯁꯤꯡ
পামলবদি	ꯄꯥꯝꯂꯕꯗꯤ
পামলমদে	ꯄꯥꯝꯂꯝꯗꯦ
পামলিবা	ꯄꯥꯝꯂꯤꯕꯥ
পামলৌ	ꯄꯥꯝꯂꯧ
পামহনদুনা	ꯄꯥꯝꯍꯟꯗꯨꯅꯥ
পামে	ꯄꯥꯃꯦ
পামেনা	ꯄꯥꯃꯦꯅꯥ
পামেল	ꯄꯥꯃꯦꯜ
পামৈ	ꯄꯥꯃꯩ
পামৈনা	ꯄꯥꯃꯩꯅꯥ
পাম্নখিবা	ꯄꯥꯝꯅꯈꯤꯕꯥ
পাম্নগদবা	ꯄꯥꯝꯅꯒꯗꯕꯥ
পাম্ননবা	ꯄꯥꯝꯅꯟꯕꯥ
পাম্ননা	ꯄꯥꯝꯅꯅꯥ
পাম্নবগী	ꯄꯥꯝꯅꯕꯒꯤ
পাম্নবসু	ꯄꯥꯝꯅꯕꯁꯨ
পাম্নবা	ꯄꯥꯝꯅꯕꯥ
পাম্নরকপগী	ꯄꯥꯝꯅꯔꯛꯄꯒꯤ
পাম্নরক্লি	ꯄꯥꯝꯅꯔꯛꯂꯤ
পাম্নরবা	ꯄꯥꯝꯅꯔꯕꯥ
পাম্নরি	ꯄꯥꯝꯅꯔꯤ
পাম্নরিবা	ꯄꯥꯝꯅꯔꯤꯕꯥ
পাম্নরে	ꯄꯥꯝꯅꯔꯦ
পাম্নহনবগা	ꯄꯥꯝꯅꯍꯟꯕꯒꯥ
পাম্নহনবা	ꯄꯥꯝꯅꯍꯟꯕꯥ
পাম্নহন্নবগী	ꯄꯥꯝꯅꯍꯟꯅꯕꯒꯤ
পাম্নহন্নবগীদমক	ꯄꯥꯝꯅꯍꯟꯅꯕꯒꯤꯗꯃꯛ
পাম্নহন্নবা	ꯄꯥꯝꯅꯍꯟꯅꯕꯥ
পাম্না	ꯄꯥꯝꯅꯥ
পাম্নৈ	ꯄꯥꯝꯅꯩ
পাম্বা	ꯄꯥꯝꯕꯥ
পাম্বী	ꯄꯥꯝꯕꯤ
পাম্বীগী	ꯄꯥꯝꯕꯤꯒꯤ
পাম্বীনচিংবা	ꯄꯥꯝꯕꯤꯅꯆꯤꯡꯕꯥ
পাম্বীশিং	ꯄꯥꯝꯕꯤꯁꯤꯡ
পাম্বীশিংগী	ꯄꯥꯝꯕꯤꯁꯤꯡꯒꯤ
পাম্বীশিংদগী	ꯄꯥꯝꯕꯤꯁꯤꯡꯗꯒꯤ
পাম্বীশিংদা	ꯄꯥꯝꯕꯤꯁꯤꯡꯗꯥ
পাম্বীশিংসু	ꯄꯥꯝꯕꯤꯁꯤꯡꯁꯨ
পাম্বৈ	ꯄꯥꯝꯕꯩ
পাম্বৈদি	ꯄꯥꯝꯕꯩꯗꯤ
পাম্বৈনা	ꯄꯥꯝꯕꯩꯅꯥ
পাম্বৈনি	ꯄꯥꯝꯕꯩꯅꯤ
পাম্বৈশিং	ꯄꯥꯝꯕꯩꯁꯤꯡ
পাম্বৈশিংগী	ꯄꯥꯝꯕꯩꯁꯤꯡꯒꯤ
পাম্বৈশিংদি	ꯄꯥꯝꯕꯩꯁꯤꯡꯗꯤ
পাম্বৈশিংনা	ꯄꯥꯝꯕꯩꯁꯤꯡꯅꯥ
পাম্বৈসু	ꯄꯥꯝꯕꯩꯁꯨ
পাম্মী	ꯄꯥꯝꯃꯤ
পাম্মীশিং	ꯄꯥꯝꯃꯤꯁꯤꯡ
পাম্লমদে	ꯄꯥꯝꯂꯝꯗꯦ
পাম্লম্মী	ꯄꯥꯝꯂꯝꯃꯤ
পাম্লি	ꯄꯥꯝꯂꯤ
পাম্লিবা	ꯄꯥꯝꯂꯤꯕꯥ
পাম্লে	ꯄꯥꯝꯂꯦ
পার	ꯄꯥꯔ
পারক্রম	ꯄꯥꯔꯀ꯭ꯔꯨꯝ
পারগা	ꯄꯥꯔꯒꯥ
পারপনা	ꯄꯥꯔꯞꯅꯥ
পারপ্না	ꯄꯥꯔꯞꯅꯥ
পারফোমা	ꯄꯥꯔꯐꯣꯃꯥ
পারফোমেন্স	ꯄꯥꯔꯐꯣꯃꯦꯟ꯭ꯁ
পারফোর্মি	ꯄꯥꯔꯐꯣꯔꯃꯤ
পারফোর্মিং	ꯄꯥꯔꯐꯣꯔꯃꯤꯡ
পারফোর্মেন্স	ꯄꯥꯔꯐꯣꯔꯃꯦꯟꯁ
পারবতিগা	ꯄꯥꯔꯕꯇꯤꯒꯥ
পারবুং	ꯄꯥꯔꯕꯨꯡ
পারবুংগী	ꯄꯥꯔꯕꯨꯡꯒꯤ
পারবুংগীসু	ꯄꯥꯔꯕꯨꯡꯒꯤꯁꯨ
পারবুংদা	ꯄꯥꯔꯕꯨꯡꯗꯥ
পারম	ꯄꯥꯔꯝ
পারমল	ꯄꯥꯔꯃꯜ
পারমিট	ꯄꯥꯔꯃꯤꯠ
পারমিনেন্ট	ꯄꯥꯔꯃꯤꯅꯦꯟ꯭ꯇ
পারমেনেন্ট	ꯄꯥꯔꯃꯦꯅꯦꯟ꯭ꯇ
পারমেলিন	ꯄꯥꯔꯃꯦꯂꯤꯟ
পারমেলিনসু	ꯄꯥꯔꯃꯦꯂꯤꯟꯁꯨ
পারলর	ꯄꯥꯔꯂꯔ
পারস	ꯄꯥꯔꯁ
পারসনা	ꯄꯥꯔꯁꯅꯥ
পারসনেল	ꯄꯥꯔꯁꯅꯦꯜ
পারসি	ꯄꯥꯔꯁꯤ
পারসেন্তেজসু	ꯄꯥꯔꯁꯦꯟꯇꯦꯖꯁꯨ
পারস্নেলশিংবু	ꯄꯥꯔꯁꯅꯦꯜꯁꯤꯡꯕꯨ
পারস্পেক্তিবস	ꯄꯥꯔꯁ꯭ꯄꯦꯛꯇꯤꯕꯁ
পারা	ꯄꯥꯔꯥ
পারাও	ꯄꯥꯔꯥꯎ
পারাক্রম	ꯄꯥꯔꯥꯀ꯭ꯔꯝ
পারাগানিগী	ꯄꯥꯔꯥꯒꯥꯅꯤꯒꯤ
পারাগুৱে	ꯄꯥꯔꯥꯒꯨꯋꯦ
পারাদ্বিপ	ꯄꯥꯔꯥꯗ꯭ꯋꯤꯞ
